Name,DunkScore
Derrick Jones Jr.,62.9    
Julian Phillips,73.1
Dereck Lively II,55.7
John Collins,113.4
Onyeka Okongwu,61.6
Ayo Dosunmu,60.0
Dyson Daniels,58.1
Zach LaVine,55.7
Cameron Johnson,54.9
Isaiah Stewart,45.6
Jabari Smith Jr.,34.5
Amen Thompson,55.9
Alperen Sengun,46.0
Giannis Antetokounmpo,37.0
Giannis Antetokounmpo,83.3
Isaiah Stewart,49.7
Myles Turner,47.0
Bilal Coulibaly,81.7
Kel'el Ware,59.4
Goga Bitadze,51.4
Bam Adebayo,81.4
Jonathan Kuminga,68.5
Anthony Edwards,66.9
Ryan Dunn,71.2
Brandon Miller,69.2
Jalen Green,71.6
Trey Lyles,64.2
Yves Missi,61.9
Keldon Johnson,59.0
Zach LaVine,58.9
Luguentz Dort,67.3
Victor Wembanyama,69.2
Evan Mobley,62.4
Brandon Boston Jr.,83.3
Derrick Jones Jr.,72.0
Taj Gibson,54.4
Clint Capela,42.5
Goga Bitadze,53.2
Jaylen Brown,48.4
Franz Wagner,37.5
Jalen Johnson,45.9
OG Anunoby,53.4
Jericho Sims,46.2
OG Anunoby,62.9
Jaylen Brown,58.5
Moussa Diabate,58.7
Kel'el Ware,65.6
Giannis Antetokounmpo,63.7
Bam Adebayo,67.0
Bruno Fernando,105.2
Robert Williams III,86.3
Goga Bitadze,13.3
Goga Bitadze,13.9
Johnny Furphy,30.3
Jarrett Allen,63.0
Ziaire Williams,42.7
Patrick Williams,33.6
Jarrett Allen,32.8
Yves Missi,31.2
Tristan da Silva,54.7
Jalen Duren,73.3
Matas Buzelis,66.5
Jarrett Allen,69.1
Malaki Branham,78.9
Bennedict Mathurin,66.1
Patrick Williams,70.5
Shaedon Sharpe,93.6
Josh Minott,71.2
Shaedon Sharpe,84.2
Lauri Markkanen,51.9
John Collins,26.1
Daniel Gafford,73.3
Naji Marshall,49.2
John Collins,39.5
Kyle Filipowski,48.3
Daniel Gafford,45.1
Jaden Hardy,101.7
Anthony Edwards,94.7
Ariel Hukporti,80.5
Jalen Green,75.8
Zach LaVine,74.0
OG Anunoby,66.1
Moussa Diabate,24.1
Moussa Diabate,36.7
Giannis Antetokounmpo,23.5
Miles Bridges,68.4
Giannis Antetokounmpo,22.8
Giannis Antetokounmpo,83.8
RJ Barrett,74.1
Brandon Ingram,42.1
LeBron James,51.7
Neemias Queta,44.0
Yves Missi,70.1
Neemias Queta,52.1
Dereck Lively II,58.2
Anthony Davis,75.0
Daniel Gafford,83.3
Oso Ighodaro,69.6
Mason Plumlee,51.5
Josh Okogie,40.9
Rudy Gobert,58.3
Rudy Gobert,28.9
Anthony Edwards,64.1
Obi Toppin,42.6
Rudy Gobert,53.4
Jarace Walker,52.2
Myles Turner,80.3
Jaden McDaniels,88.7
Clint Capela,64.3
Bam Adebayo,66.6
Bilal Coulibaly,67.5
Alperen Sengun,89.3
Shaedon Sharpe,72.3
Jalen Duren,39.7
Isaiah Stewart,30.4
Julian Phillips,81.0
OG Anunoby,31.7
Alexandre Sarr,69.2
Jakob Poeltl,43.8
Mikal Bridges,35.1
Zach LaVine,54.2
Jimmy Butler,48.2
Tyrese Haliburton,46.1
Jericho Sims,83.1
Quenton Jackson,65.8
Karl-Anthony Towns,58.1
Zach LaVine,82.6
Ronald Holland II,76.7
Obi Toppin,85.0
Oso Ighodaro,78.5
Jarrett Allen,31.9
Jarrett Allen,41.6
Evan Mobley,49.7
Evan Mobley,33.1
Miles Bridges,72.3
Craig Porter Jr.,38.4
Brandon Miller,73.2
Ziaire Williams,57.6
Noah Clowney,58.6
Miles Bridges,63.5
Jake LaRavia,61.4
Vlatko Čančar,63.1
Tre Mann,84.7
Jaden Hardy,72.6
